run_folder,result_folder,Noise Level,MSE Loss,Relative L2 Loss,Physics Loss,MSE Degradation,Relative L2 Degradation
fno,fno,0.0,0.4393399,0.06814208,0.1947275,0.0,0.0
fno,fno,0.01,0.4618426,0.07053688,0.2228357,0.05121934065173681,0.03514421631978364
fno,fno,0.05,1.612181,0.1426997,1.078869,2.6695528905979176,1.0941494594823056
fno,fno,0.1,11.05419,0.3820742,5.459153,24.16090616854968,4.6070228557742885
fno,fno,0.2,26.80068,0.5949847,10.15862,60.00215345794907,7.73153123591179
fno,fno,0.5,37.77653,0.7051494,12.74833,84.98474666198085,9.348222419978963
fno,fno,1.0,37.77247,0.7052673,14.09755,84.97550552544851,9.349952628390565
pino,pino,0.0,0.5266883,0.07495085,0.2530263,0.0,0.0
pino,pino,0.01,0.529406,0.07522389,0.2562496,0.00515997792242593,0.00364292066067299
pino,pino,0.05,0.6075168,0.08212669,0.3269536,0.15346553170062818,0.0957406086788876
pino,pino,0.1,0.9489865,0.1063953,0.6222086,0.8017990906576052,0.4195342681237104
pino,pino,0.2,2.802902,0.1892231,1.969108,4.321747226965171,1.524629140296608
pino,pino,0.5,10.74815,0.3750562,5.520047,19.40704150823172,4.004028640102147
pino,pino,1.0,21.17183,0.5275314,8.070115,39.19802604310747,6.03836447485252
